rhca_hostChampionFitnessWin,rhca_parasiteChampionFitnessWin,oe_championFitnessWin,rhca_hostChampionFitnessLose,rhca_parasiteChampionFitnessLose,oe_championFitnessLose,rhca_hostChampionFitnessTie,rhca_parasiteChampionFitnessTie,oe_championFitnessTie
1140.9589743589745,65.37147243149778,2203.25,1076.475,54.343496188275104,2230.25641025641,955.5,74.40733712839975,2180.0
1088.7170341880342,63.976060831153404,1967.0833333333333,963.5847888888891,53.78343843837456,1978.3948717948724,917.4666666666666,55.44527885149321,1861.5
1036.475094017094,62.580649230809044,1730.9166666666672,850.6945777777778,53.223380688474016,1726.5333333333333,879.4333333333334,36.48322057458665,1543.0
974.2428376068378,60.97927735814057,1534.0933333333332,756.1593222222222,52.62107595464904,1528.373076923077,568.4166666666666,47.60569157637461,1614.0
789.8703589743592,61.68900286655318,1481.8466666666666,670.9302000000004,53.534710105997284,1484.6923076923072,257.4,58.728162578162575,1685.0
583.343418803419,61.02938599419447,1504.0916666666667,581.6380555555555,55.10123349738891,1559.5064102564102,-133.70666666666665,86.27229629922329,1954.8
384.81535042735055,60.8757915107989,1548.4000000000003,472.57967777777765,57.94087979138394,1664.5358974358976,-524.8133333333333,113.81643002028397,2224.6
270.8926068376067,59.94158640278522,1581.9049999999997,391.32967222222214,60.14830021389806,1751.4274358974355,-581.5666666666667,104.36041086026887,2241.1
227.00034188034195,60.353282731770015,1623.4266666666665,341.3436888888889,62.91295519386778,1797.525128205128,-638.3199999999999,94.90439170025377,2257.6
222.46499145299146,63.38189900398988,1691.8351666666665,271.7502388888889,65.59324662583252,1818.5051282051281,-292.25666666666666,96.08083913666492,2640.2
228.8069230769231,65.30547043725521,1773.265,191.92877777777778,70.52263108960726,1846.779487179487,53.806666666666615,97.25728657307606,3022.8
204.1863333333333,69.22524813799669,1896.6353333333334,105.88939444444446,76.33945754013095,1917.1946153846152,-1164.776666666667,135.23246002535478,4011.1
105.10704273504285,78.44270596652352,2042.9640000000002,20.452511111111104,82.71043570642367,1935.86358974359,-2383.36,173.20763347763346,4999.4
116.35176068376052,86.29166641704792,2172.4008333333336,-65.80071111111111,89.42282152563926,1930.342307692307,-2801.3966666666665,195.56736892736893,4878.9
161.4967863247864,89.6169612492169,2272.2506666666663,-182.40635555555568,95.50248797411103,2013.868205128205,-3219.433333333333,217.9271043771044,4758.4
271.48145299145295,89.97608467228056,2363.9958333333334,-226.0836111111111,98.27803565297023,2147.410256410257,-3011.9999999999995,213.78605452281923,5058.5
345.261982905983,90.45965528493868,2487.0146666666665,-220.7583777777778,101.00352505927499,2280.3815384615395,-2804.5666666666666,209.6450046685341,5358.6
338.9028547008547,96.69057758005117,2630.775333333333,-207.44183888888898,104.9757003982092,2366.3002564102567,-2274.3,191.32341343554964,4826.6
69.295384615385,113.66315599562259,2795.416,-313.4968999999999,114.03879833955503,2528.468717948718,-1744.0333333333333,173.00182220256522,4294.6
-210.21525641025684,129.9215671022919,2938.0496666666663,-463.69456111111134,126.60694128937727,2791.5251282051286,-904.6833333333332,204.31617402463377,4057.1
-359.0025641025641,138.53708694179994,3014.299999999999,-641.4155555555559,139.39981494461455,2923.3435897435897,-65.33333333333321,235.6305258467023,3819.6
