winnerIndex,seed,turns,crystalWin,unitWin,co_generations,co_sumChampionHostFindGen,co_championHostFitnesses,co_sumChampionParasiteFindGen,co_championParasiteFitnesses,oe_generations,oe_sumChampionHostFindGen,oe_championFitnesses
,,,,,26.0,,690.6666666666666,,62.41379310344828,146.0,,1720.0
,,,,,33.0,,617.5,,69.16666666666667,609.0,,2170.0
,,,,,21.0,,712.9666666666667,,16.217391304347824,66.0,,1110.0
,,,,,39.0,,3421.8333333333335,,-9.464285714285714,655.0,,90.0
,,,,,44.0,,298.1666666666667,,51.583333333333336,600.0,,698.0
,,,,,42.0,,-439.73333333333335,,99.42105263157895,511.0,,1700.0
,,,,,34.0,,-1179.8333333333333,,136.61904761904762,424.0,,1740.0
,,,,,37.0,,-408.5,,96.2,308.0,,1714.0
,,,,,34.0,,1614.3333333333333,,42.57142857142857,381.0,,1794.0
,,,,,37.0,,-3024.6666666666665,,234.21428571428572,379.0,,2534.0
,,,,,38.0,,-530.3333333333334,,155.8235294117647,346.0,,6449.0
,,,,,38.0,,-4212.5,,435.90909090909093,469.0,,7350.0
,,,,,38.0,,-6085.0,,608.5333333333333,435.0,,9739.0
,,,,,41.0,,-12767.166666666666,,787.5263157894736,488.0,,15776.0
,,,,,40.0,,-16174.0,,1035.25,505.0,,16533.0
,,,,,41.0,,-16345.166666666666,,908.8333333333334,463.0,,18944.0
,,,,,41.0,,-18249.5,,1169.0,465.0,,21304.0
,,,,,41.0,,-18483.666666666668,,1115.8235294117646,471.0,,21304.0
,,,,,42.0,,-18715.666666666668,,1245.6,454.0,,21664.0
,,,,,45.0,,-18277.166666666668,,1123.5555555555557,485.0,,22614.0
,,,,,44.0,,-19120.166666666668,,1082.45,509.0,,20874.0
,,,,,44.0,,-16957.333333333332,,1054.625,643.0,,21734.0
,,,,,46.0,,-15615.5,,918.7058823529412,593.0,,18678.0
,,,,,,,,,,748.0,,60000.0
1,790490100246,65,True,False,29.0,1114.0,915.3333333333334,1115.0,50.0,1619.0,2951.0,2570.0
,,,,,15.0,,996.5,,96.19047619047619,792.0,,335.0
,,,,,35.0,,-452.8333333333333,,104.58333333333333,162.0,,1870.0
,,,,,31.0,,2151.6666666666665,,95.0,619.0,,2280.0
,,,,,22.0,,1328.5,,44.8,570.0,,2240.0
,,,,,25.0,,200.0,,42.5,580.0,,880.0
,,,,,14.0,,1246.7,,102.25,435.0,,1380.0
,,,,,20.0,,1423.6666666666667,,127.8125,450.0,,1485.0
,,,,,35.0,,-1634.6666666666667,,120.0,100.0,,2410.0
,,,,,34.0,,160.66666666666666,,109.58333333333333,480.0,,2090.0
,,,,,36.0,,-7502.833333333333,,447.94117647058823,356.0,,8880.0
,,,,,36.0,,-6859.666666666667,,433.8888888888889,386.0,,9935.0
,,,,,38.0,,-6770.0,,436.0,350.0,,10290.0
,,,,,35.0,,-7392.0,,483.8636363636364,380.0,,9770.0
,,,,,35.0,,-7277.666666666667,,483.2352941176471,383.0,,9890.0
,,,,,35.0,,-5323.666666666667,,423.8095238095238,376.0,,8905.0
,,,,,36.0,,-8459.833333333334,,425.4761904761905,366.0,,9775.0
,,,,,36.0,,-7043.833333333333,,433.7037037037037,379.0,,11260.0
,,,,,39.0,,-9020.0,,487.82608695652175,383.0,,12060.0
,,,,,32.0,,-8280.666666666666,,483.8636363636364,384.0,,11817.0
,,,,,36.0,,-7017.0,,566.6875,343.0,,13525.0
,,,,,37.0,,-9950.666666666666,,638.3888888888889,385.0,,12051.0
,,,,,38.0,,-9614.5,,589.8571428571429,359.0,,12287.0
,,,,,39.0,,-13540.166666666666,,700.75,400.0,,14585.0
,,,,,40.0,,-14269.833333333334,,783.421052631579,411.0,,17085.0
,,,,,43.0,,-16406.333333333332,,911.9444444444445,417.0,,18585.0
,,,,,42.0,,-18672.066666666666,,1052.2777777777778,372.0,,21041.0
,,,,,43.0,,-18403.0,,1180.0588235294117,395.0,,22481.0
,,,,,44.0,,-21821.166666666668,,1498.8823529411766,390.0,,26051.0
,,,,,42.0,,-23734.0,,1251.421052631579,403.0,,28247.0
,,,,,46.0,,-24351.166666666668,,1459.235294117647,415.0,,26947.0
,,,,,47.0,,-26468.833333333332,,1556.2941176470588,402.0,,28747.0
,,,,,,,,,,401.0,,60000.0
2,815035600830,46,False,True,35.0,783.0,782.6666666666666,810.0,94.56521739130434,1419.0,2434.0,2010.0
,,,,,23.0,,896.5,,57.8125,705.0,,1160.0
,,,,,18.0,,832.3333333333334,,46.37931034482759,512.0,,1410.0
,,,,,19.0,,4362.166666666667,,-65.0,489.0,,1700.0
,,,,,15.0,,4793.6,,0.22727272727272727,592.0,,607.0
,,,,,15.0,,4931.166666666667,,-40.47222222222222,508.0,,-1692.0
,,,,,14.0,,12643.5,,-190.2,419.0,,-1815.0
,,,,,13.0,,17119.666666666668,,-272.23809523809524,469.0,,-10424.0
,,,,,16.0,,10121.666666666666,,-260.6923076923077,494.0,,-10197.0
,,,,,16.0,,10664.166666666666,,-225.82222222222222,41.0,,-8557.0
,,,,,42.0,,11729.166666666666,,-271.25581395348837,628.0,,-9584.0
,,,,,43.0,,12444.0,,-255.48979591836735,726.0,,-10209.0
,,,,,37.0,,9456.5,,-100.04651162790698,628.0,,-7029.0
,,,,,44.0,,10469.666666666666,,-213.48979591836735,728.0,,-8654.0
,,,,,43.0,,9647.666666666666,,-159.3695652173913,544.0,,-6141.0
,,,,,34.0,,3572.2,,-36.3,580.0,,-4369.0
,,,,,46.0,,4575.5,,-81.91836734693878,573.0,,-2364.0
,,,,,49.0,,5356.666666666667,,-112.51063829787235,785.0,,-3074.0
,,,,,52.0,,5798.666666666667,,-82.17777777777778,785.0,,-3168.0
,,,,,53.0,,4577.5,,-106.11627906976744,898.0,,-4093.0
,,,,,55.0,,15151.0,,-89.44186046511628,732.0,,-3021.0
,,,,,65.0,,16365.5,,-332.3333333333333,1138.0,,-12971.0
,,,,,64.0,,60000.0,,-440.3611111111111,1510.0,,-15753.0
1,1111986053641,43,True,False,23.0,806.0,1418.5,806.0,134.75,101.0,1565.0,2320.0
,,,,,20.0,,2803.233333333333,,50.95238095238095,49.0,,1620.0
,,,,,48.0,,-336.1666666666667,,49.285714285714285,80.0,,2605.0
,,,,,42.0,,-1371.5,,138.25,568.0,,2810.0
,,,,,41.0,,141.16666666666666,,49.285714285714285,530.0,,1920.0
,,,,,37.0,,-1510.0,,289.1875,379.0,,3712.0
,,,,,37.0,,-4171.5,,359.05882352941177,344.0,,6016.0
,,,,,34.0,,-6895.433333333333,,430.88235294117646,382.0,,8510.0
,,,,,24.0,,-16190.166666666666,,907.7894736842105,379.0,,19135.0
,,,,,39.0,,-17628.833333333332,,965.9444444444445,354.0,,20733.0
,,,,,40.0,,-17390.666666666668,,991.3809523809524,471.0,,19944.0
,,,,,38.0,,-19054.333333333332,,1038.3684210526317,379.0,,20704.0
,,,,,37.0,,-20751.5,,1219.9444444444443,378.0,,21799.0
,,,,,39.0,,-22499.333333333332,,1438.375,373.0,,22874.0
,,,,,40.0,,-24704.333333333332,,1482.0,378.0,,25854.0
,,,,,45.0,,-25418.833333333332,,1586.375,383.0,,28002.0
,,,,,43.0,,-25631.333333333332,,1728.8,441.0,,28702.0
,,,,,43.0,,-27676.166666666668,,1384.35,366.0,,30462.0
,,,,,45.0,,-31411.5,,1761.5,389.0,,30987.0
,,,,,45.0,,-33932.0,,1992.4705882352941,361.0,,34202.0
,,,,,46.0,,-26031.666666666668,,2103.5625,348.0,,36122.0
,,,,,,,,,,343.0,,60000.0
1,915952569776,43,True,False,21.0,620.0,1724.0,620.0,50.8,100.0,2113.0,2320.0
,,,,,31.0,,1101.6666666666667,,63.958333333333336,59.0,,1620.0
,,,,,27.0,,-471.3333333333333,,65.47619047619048,70.0,,2690.0
,,,,,23.0,,-409.8333333333333,,76.37931034482759,517.0,,1820.0
,,,,,18.0,,-1340.8333333333333,,126.66666666666667,472.0,,2810.0
,,,,,16.0,,-322.6666666666667,,66.0,416.0,,2050.0
,,,,,10.0,,-907.0,,180.23809523809524,378.0,,3865.0
,,,,,23.0,,-1018.5666666666667,,208.46153846153845,342.0,,3860.0
,,,,,20.0,,-809.3333333333334,,154.0,427.0,,5820.0
,,,,,14.0,,-2063.5,,261.8421052631579,495.0,,4135.0
,,,,,32.0,,-2682.8333333333335,,230.1818181818182,36.0,,5109.0
,,,,,33.0,,-2575.3333333333335,,160.28125,460.0,,3974.0
,,,,,33.0,,-1034.0,,151.85714285714286,528.0,,4414.0
,,,,,38.0,,-2410.8333333333335,,191.0,548.0,,4264.0
,,,,,38.0,,-3496.8333333333335,,312.7,490.0,,6294.0
,,,,,38.0,,-6189.0,,431.5263157894737,506.0,,7584.0
,,,,,40.0,,-14208.333333333334,,868.0555555555555,514.0,,17850.0
,,,,,44.0,,-17530.5,,1337.5333333333333,557.0,,19418.0
,,,,,41.0,,-17451.333333333332,,1164.5333333333333,583.0,,20648.0
,,,,,38.0,,-20297.166666666668,,1323.9375,436.0,,22028.0
,,,,,42.0,,-21858.666666666668,,1435.2941176470588,410.0,,23230.0
,,,,,,,,,,416.0,,60000.0
1,226567767627,71,True,False,29.0,1409.0,477.3333333333333,1408.0,75.0,1461.0,3092.0,2320.0
,,,,,18.0,,292.1666666666667,,54.166666666666664,96.0,,1590.0
,,,,,21.0,,98.66666666666667,,49.54545454545455,484.0,,1965.0
,,,,,20.0,,251.0,,76.45833333333333,54.0,,2485.0
,,,,,36.0,,121.16666666666667,,34.6,551.0,,1150.0
,,,,,32.0,,-822.8333333333334,,101.19047619047619,420.0,,2080.0
,,,,,30.0,,1949.6666666666667,,-5.606060606060606,382.0,,2250.0
,,,,,35.0,,-888.6666666666666,,115.55555555555556,375.0,,1790.0
,,,,,35.0,,-1570.8333333333333,,152.64705882352942,442.0,,2455.0
,,,,,33.0,,-7589.333333333333,,402.57894736842104,438.0,,10915.0
,,,,,35.0,,-10492.166666666666,,679.625,410.0,,11239.0
,,,,,33.0,,-10077.0,,600.8235294117648,460.0,,11749.0
,,,,,34.0,,-7972.0,,524.2105263157895,453.0,,10955.0
,,,,,34.0,,-10899.5,,641.4705882352941,453.0,,11210.0
,,,,,37.0,,-9383.833333333334,,665.2777777777778,462.0,,13290.0
,,,,,36.0,,-7525.0,,507.5,523.0,,12705.0
,,,,,37.0,,-9493.833333333334,,675.2777777777778,532.0,,12555.0
,,,,,36.0,,-7996.5,,532.6666666666666,523.0,,13115.0
,,,,,36.0,,-11339.333333333334,,717.3529411764706,517.0,,13115.0
,,,,,35.0,,-10672.5,,593.7368421052631,488.0,,13701.0
,,,,,37.0,,-8381.0,,493.0,532.0,,13401.0
,,,,,37.0,,-6104.0,,502.70588235294116,543.0,,13176.0
,,,,,39.0,,-3663.5,,340.3529411764706,550.0,,8346.0
,,,,,44.0,,-3285.5,,187.3,580.0,,6506.0
,,,,,45.0,,-2567.6666666666665,,301.14285714285717,719.0,,5221.0
,,,,,49.0,,-4899.0,,287.11764705882354,632.0,,5874.0
,,,,,50.0,,-4550.5,,235.95454545454547,707.0,,6986.0
,,,,,50.0,,-6399.5,,353.05,723.0,,7561.0
,,,,,47.0,,-7723.0,,410.1578947368421,721.0,,8613.0
,,,,,53.0,,-7860.833333333333,,493.625,681.0,,10098.0
,,,,,50.0,,-9152.5,,617.875,605.0,,13023.0
,,,,,53.0,,-11374.0,,636.5,588.0,,15277.0
,,,,,51.0,,-15130.5,,979.3125,630.0,,16927.0
,,,,,51.0,,-3609.5,,807.1363636363636,718.0,,18905.0
,,,,,111.0,,-4039.5,,365.4375,1015.0,,5717.0
,,,,,,,,,,1734.0,,60000.0
1,1022902339291,48,False,True,17.0,753.0,1709.8333333333333,892.0,51.724137931034484,95.0,1766.0,2050.0
,,,,,38.0,,578.1666666666666,,20.333333333333332,86.0,,1800.0
,,,,,29.0,,320.8333333333333,,74.75,639.0,,1610.0
,,,,,23.0,,47.833333333333336,,48.0,439.0,,1360.0
,,,,,15.0,,219.66666666666666,,52.857142857142854,405.0,,1300.0
,,,,,9.0,,3219.5,,53.225806451612904,306.0,,1070.0
,,,,,29.0,,1013.5,,16.08695652173913,55.0,,700.0
,,,,,30.0,,-44.0,,57.38095238095238,290.0,,170.0
,,,,,29.0,,539.6666666666666,,21.041666666666668,304.0,,945.0
,,,,,30.0,,1495.3333333333333,,47.857142857142854,300.0,,1645.0
,,,,,31.0,,792.3333333333334,,73.41176470588235,314.0,,1250.0
,,,,,34.0,,-1992.6666666666667,,209.26315789473685,331.0,,3048.0
,,,,,31.0,,1479.2333333333333,,24.695652173913043,314.0,,4248.0
,,,,,31.0,,1682.1666666666667,,106.5,376.0,,3108.0
,,,,,34.0,,-71.6,,112.0,337.0,,3040.0
,,,,,33.0,,-3133.0,,230.1875,371.0,,4267.0
,,,,,36.0,,-2621.7,,358.8,372.0,,5243.0
,,,,,40.0,,2846.866666666667,,341.27272727272725,389.0,,6557.0
,,,,,44.0,,643.5,,-8.0,361.0,,-152.0
,,,,,45.0,,-1606.3333333333333,,165.5909090909091,390.0,,2508.0
,,,,,49.0,,-7644.233333333334,,431.3888888888889,391.0,,5283.0
,,,,,46.0,,-8830.5,,462.5263157894737,424.0,,9318.0
,,,,,49.0,,-11830.0,,663.5,383.0,,12123.0
,,,,,141.0,,-60000.0,,3157.8947368421054,388.0,,13873.0
0,1214305190771,100,False,False,23.0,1781.0,1624.1666666666667,1781.0,160.47619047619048,96.0,3813.0,2320.0
,,,,,29.0,,703.3333333333334,,20.689655172413794,94.0,,1785.0
,,,,,20.0,,254.16666666666666,,47.0,50.0,,765.0
