rhca_hostChampionFindGen,rhca_parasiteChampionFindGen,rhcaPortfolio_hostChampionFindGen,rhcaPortfolio_parasiteChampionFindGen
35.72115384615385,35.70192307692308,19.865384615384617,19.875
32.166153846153854,32.13451923076924,19.07903846153846,19.08451923076923
28.61115384615386,28.567115384615402,18.29269230769231,18.294038461538467
25.507019230769227,25.443653846153843,17.563076923076913,17.560288461538452
23.65230769230769,23.555384615384607,17.057692307692314,17.04961538461539
23.023557692307687,22.922115384615378,16.663942307692313,16.65144230769231
23.0825,22.984038461538457,16.272884615384605,16.25980769230768
22.975192307692314,22.883461538461543,15.888076923076929,15.879038461538467
22.665769230769225,22.583076923076916,15.476923076923073,15.472692307692304
22.705096153846156,22.628076923076925,15.042403846153853,15.043365384615393
23.088461538461534,23.019230769230766,14.67019230769231,14.676923076923078
23.20211538461538,23.139711538461537,14.305000000000005,14.318173076923085
23.08461538461539,23.011923076923082,13.918846153846156,13.937307692307693
22.903942307692304,22.820096153846148,13.677980769230764,13.69384615384615
22.666346153846153,22.58211538461538,13.438653846153844,13.451923076923077
22.59423076923077,22.518269230769235,13.157211538461533,13.162499999999994
22.612692307692303,22.54,12.872692307692306,12.873846153846152
22.869519230769228,22.794903846153847,12.61423076923077,12.610865384615387
23.296346153846155,23.222884615384608,12.489999999999998,12.481346153846154
23.82923076923076,23.755096153846143,12.460673076923076,12.444134615384616
24.19038461538461,24.11730769230769,12.465384615384615,12.44230769230769
24.827403846153857,24.756923076923083,12.344711538461537,12.31644230769231
25.245192307692307,25.164038461538457,12.160769230769226,12.137884615384612
25.689615384615383,25.599519230769225,12.047884615384614,12.040769230769229
26.198846153846155,26.116153846153857,12.019615384615385,12.029615384615381
26.682692307692307,26.615384615384617,11.975961538461538,11.992788461538462
26.9826923076923,26.933846153846147,11.868076923076925,11.884038461538466
27.322596153846145,27.28817307692307,11.793173076923077,11.803076923076922
27.69307692307693,27.663461538461547,11.738461538461538,11.743846153846153
28.091346153846157,28.061923076923083,11.69269230769231,11.701153846153849
28.412500000000005,28.37884615384616,11.618269230769231,11.631730769230769
28.593749999999993,28.56240384615384,11.572788461538465,11.584038461538464
28.77846153846155,28.75423076923078,11.621153846153847,11.629230769230771
28.841634615384613,28.829903846153837,11.715576923076922,11.724711538461538
29.21307692307692,29.20788461538461,11.755192307692305,11.766730769230767
29.721153846153847,29.720192307692308,11.765865384615381,11.776442307692303
30.099230769230772,30.097692307692306,11.782307692307695,11.794230769230772
30.389807692307702,30.38836538461539,11.754326923076924,11.767980769230766
30.63807692307692,30.638653846153844,11.687115384615383,11.70403846153846
30.78307692307692,30.78903846153846,11.654134615384619,11.669615384615387
30.942307692307686,30.95384615384615,11.669230769230772,11.680769230769235
31.25240384615386,31.269134615384626,11.75019230769231,11.75769230769231
31.637115384615388,31.655192307692307,11.840000000000003,11.843461538461542
32.02865384615386,32.04750000000001,11.906346153846156,11.906346153846156
32.31653846153846,32.33038461538461,12.021923076923075,12.021923076923075
32.54855769230768,32.56009615384614,12.06778846153846,12.06778846153846
32.78538461538461,32.785769230769226,12.032115384615384,12.033653846153847
32.98163461538463,32.96990384615386,12.025192307692311,12.031153846153849
33.15,33.129615384615384,12.096153846153852,12.106538461538465
33.42086538461539,33.40019230769231,12.180480769230762,12.190480769230762
33.73557692307692,33.71153846153846,12.225961538461538,12.235576923076923
33.95163461538462,33.91807692307693,12.19048076923077,12.205480769230771
34.16692307692308,34.130769230769225,12.18576923076923,12.208461538461538
34.2939423076923,34.26461538461538,12.231923076923083,12.259711538461543
34.418653846153845,34.39903846153846,12.32807692307692,12.354807692307691
34.51778846153846,34.50144230769231,12.439903846153848,12.460576923076927
34.55384615384617,34.54076923076924,12.514999999999999,12.523461538461536
34.63932692307692,34.632596153846166,12.589326923076923,12.586634615384614
34.744615384615386,34.75057692307693,12.696538461538463,12.690576923076922
34.86865384615384,34.886730769230766,12.848749999999995,12.844615384615382
35.0076923076923,35.026923076923076,13.038461538461535,13.036538461538457
35.31230769230769,35.322884615384616,13.16923076923077,13.171826923076923
35.61615384615386,35.62192307692308,13.261730769230768,13.263269230769229
35.88067307692307,35.888365384615376,13.3575,13.355288461538464
36.19192307692307,36.201538461538455,13.414999999999994,13.410769230769226
