rhca_hostChampionFitnessWin,rhca_parasiteChampionFitnessWin,rhcaPortfolio_hostChampionFitnessWin,rhcaPortfolio_parasiteChampionFitnessWin,rhca_hostChampionFitnessLose,rhca_parasiteChampionFitnessLose,rhcaPortfolio_hostChampionFitnessLose,rhcaPortfolio_parasiteChampionFitnessLose,rhca_hostChampionFitnessTie,rhca_parasiteChampionFitnessTie,rhcaPortfolio_hostChampionFitnessTie,rhcaPortfolio_parasiteChampionFitnessTie
0.0,0.0,-63.01666666666666,93.0372174122174,1758.9583333333333,42.59155608883869,0.0,0.0,Infinity,Infinity,Infinity,Infinity
0.0,0.0,65.60533333333335,88.61502735690235,1481.2875,45.37966392209739,0.0,0.0,Infinity,Infinity,Infinity,Infinity
0.0,0.0,194.22733333333338,84.1928373015873,1203.6166666666666,48.167771755356085,0.0,0.0,Infinity,Infinity,Infinity,Infinity
0.0,0.0,372.86799999999994,77.5465882034632,933.1733333333334,46.0098425281615,0.0,0.0,Infinity,Infinity,Infinity,Infinity
0.0,0.0,290.38966666666664,80.3269114596837,901.9633333333334,44.820887709991155,0.0,0.0,Infinity,Infinity,Infinity,Infinity
0.0,0.0,281.5041666666668,83.31410881730187,1022.7854166666667,40.17123422492051,0.0,0.0,Infinity,Infinity,Infinity,Infinity
0.0,0.0,282.58749999999986,87.60933983666064,1220.8258333333333,34.86163641755546,0.0,0.0,Infinity,Infinity,Infinity,Infinity
0.0,0.0,243.4420833333332,99.26532831215974,1231.738,29.319764788740052,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-64.47333333333341,119.91377835340705,1210.3719999999998,24.72589262051181,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-214.45666666666665,140.1756331192401,1212.5806666666667,17.286323863474387,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-179.2208333333335,157.4752975882189,1427.2475000000002,11.241733794627189,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-158.59149999999968,172.44478052195706,1642.126083333333,7.949170138141522,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-605.1363333333331,189.00010361690175,2128.124666666667,12.741554167594977,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-1227.5699166666668,211.76960934443133,2719.0845000000004,21.87340469005781,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-1711.493500000001,277.4823049597238,3460.9790000000003,11.002258732090777,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-2201.1037499999998,339.76339450214164,3993.056666666666,-20.21090502677544,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-2560.673333333333,358.15830934778415,4167.743666666666,-29.70274245232915,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-2893.246666666667,366.9385724145229,4288.590666666667,-32.290494138171404,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-2999.1081666666664,330.09818859649135,4031.5610000000006,-21.829189443239727,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-2990.8553333333334,264.2394000257998,3717.3984166666664,-26.302687348370444,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-2943.358333333333,229.03579050567595,3671.133333333334,-34.80539879858066,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-3425.022916666666,255.78648654110762,4148.880416666666,-51.677697689451755,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-4697.132,340.8827463020295,4903.470499999999,-66.5560123698795,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-6250.09425,445.0033901788786,5997.9619999999995,-82.1795686289356,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-7512.770666666667,541.7706977148754,6748.145666666665,-93.63999543203907,0.0,0.0,Infinity,Infinity,-Infinity,Infinity
0.0,0.0,-7443.216666666666,539.8969362207603,6544.797916666666,-104.07370067980551,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-7191.007166666666,530.2866222744361,6326.642999999999,-115.63788571338984,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-7012.479916666666,590.0992082550129,6258.8313333333335,-121.338949454237,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-6588.3579999999965,654.4512190803097,6118.6939999999995,-117.86369497945027,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-5744.631416666667,681.6144251921086,6122.260333333334,-112.91485480739682,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-4874.582500000002,688.1752431219144,6104.24,-109.99801566884433,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-3835.1598333333327,656.0064553969581,5726.29825,-102.29497421802725,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-4267.661666666664,595.1081052250886,6220.5206666666645,-96.31232514711309,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-4782.836249999999,545.8044766357629,6644.731249999999,-80.38080972787273,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-5368.300833333337,539.2477769024277,6900.0236666666715,-50.89131429844662,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-6036.425416666668,589.3639879232394,7355.094583333334,-37.682721631631466,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-6427.594000000001,681.2532512850752,7832.343,-47.727992571539076,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-6794.922999999999,757.5842028822054,8470.039416666665,-60.118170978979165,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-6151.4580000000005,791.0473951469585,8384.206833333334,-84.81409327247377,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-4930.961499999998,863.5056913647757,8226.193416666665,-90.4579760691228,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-4186.314999999998,987.6077769598822,8287.666666666666,-98.20119869261165,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-3600.6751666666696,812.1902650441666,8284.6175,-76.53951844532284,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-3221.291666666666,606.1793482036903,7788.977666666668,-50.75296771472353,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-2955.4260000000004,420.7486778414768,6722.543583333333,-23.89936539842128,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-2673.0796666666674,400.3976948656895,5489.0136666666685,1.4566743272207319,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-2422.6483333333344,388.4608880499928,4421.3775000000005,24.65823998675411,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-2394.338833333331,391.2487932582048,4261.384500000001,19.262839064354687,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-2277.365583333333,359.1119257570023,4263.53525,10.7946342772183,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-2186.766333333331,335.36307428232607,4269.642,4.2045099854378805,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-1725.631166666672,360.75794499914326,4159.9140000000025,48.69775116769152,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-916.6749999999997,404.23583026960785,3904.2416666666654,130.93938207260578,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,-172.5673333333284,410.8779746586134,5110.3611666666675,221.85883594402713,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
0.0,0.0,256.8263333333325,394.7974381419235,5976.613666666672,271.30668014667066,0.0,0.0,Infinity,-Infinity,-Infinity,Infinity
