rhca_hostChampionFitnessWin,rhca_parasiteChampionFitnessWin,oe_championFitnessWin,rhca_hostChampionFitnessLose,rhca_parasiteChampionFitnessLose,oe_championFitnessLose,rhca_hostChampionFitnessTie,rhca_parasiteChampionFitnessTie,oe_championFitnessTie
393.16666666666674,100.12233612687845,2189.574468085106,245.9907801418439,100.31727572771186,2196.5,NaN,NaN,NaN
433.65780000000007,100.96354098178709,1993.823404255319,256.6440531914894,100.03125375742579,1939.4899999999998,NaN,NaN,NaN
474.1489333333334,101.80474583669572,1798.072340425532,267.29732624113467,99.74523178713972,1682.48,NaN,NaN,NaN
392.42840000000007,102.57494295487122,1616.0840425531915,261.72456382978726,99.34540732713054,1493.4050000000002,NaN,NaN,NaN
271.2357333333333,103.3659542985936,1508.6621276595745,235.61019858156024,98.4584038736909,1409.6399999999999,NaN,NaN,NaN
192.7108333333333,101.00251565044228,1504.072340425532,162.54436170212753,98.825762267279,1399.1950000000002,NaN,NaN,NaN
62.761000000000045,97.91295806292776,1554.078297872341,84.3233971631206,101.28169503986662,1429.364,NaN,NaN,NaN
-122.22250000000017,98.30881023031213,1602.2768085106381,8.439716312056671,103.90255281133496,1571.275,NaN,NaN,NaN
-238.98613333333324,105.57422988771984,1657.1034042553194,-71.93331914893623,108.66683476179928,1729.2400000000002,NaN,NaN,NaN
-257.52423333333337,116.57648568922077,1746.2232978723407,-144.00748581560288,117.74582589126128,1852.4969999999998,NaN,NaN,NaN
-236.0843333333333,126.64982626013675,1848.0106382978727,-206.79737588652483,127.06133407713031,1891.23,NaN,NaN,NaN
-245.73893333333325,134.74427551620593,1950.9857446808512,-268.21288297872337,133.53119576020777,2000.1269999999997,NaN,NaN,NaN
-511.45973333333296,151.26490794290777,2064.494468085106,-336.05896453900704,138.68787068737174,2291.7599999999998,NaN,NaN,NaN
-774.9439333333337,171.4080487073732,2155.1287234042557,-418.2788475177305,143.56581913569278,2582.4590000000003,NaN,NaN,NaN
-931.3767333333335,193.86392903954336,2253.5582978723405,-532.8296737588652,148.16290022432193,2741.884,NaN,NaN,NaN
-1198.7068333333332,213.3430049612839,2361.798404255319,-646.4745921985814,154.61730365206583,2810.685,NaN,NaN,NaN
-1506.6008000000002,234.51464781372025,2487.557021276596,-791.3368652482271,161.75069824211906,2883.744,NaN,NaN,NaN
-1820.3101000000006,250.61008199995177,2624.934468085107,-958.6039007092204,168.76429398777526,2970.9669999999996,NaN,NaN,NaN
-2195.734333333333,256.91807001198646,2765.690851063829,-1153.0926028368788,175.67172503034166,3237.792,NaN,NaN,NaN
-2436.7285,268.58746742114056,2901.2046808510636,-1382.6031808510643,185.02417116797452,3646.2110000000002,NaN,NaN,NaN
-2867.804666666668,313.0906400611697,3055.4659574468083,-1537.679574468085,195.47794398051164,4150.18,NaN,NaN,NaN
-3401.336499999999,362.66866048267104,3214.2613829787233,-1638.2066560283686,206.0144073685363,4717.707,NaN,NaN,NaN
-3970.5168000000003,408.5445623384604,3405.653617021277,-1758.6420780141848,218.366369769398,5560.9619999999995,NaN,NaN,NaN
-4435.418200000002,415.62528783221677,3623.5522340425537,-1941.9999787234044,239.2776128232782,6367.238000000001,NaN,NaN,NaN
-4601.1872,419.9437537402043,3855.9182978723406,-2142.2381702127655,263.0839697767937,6774.276000000001,NaN,NaN,NaN
-4647.8741666666665,432.6767259401455,4038.220744680851,-2340.3019503546107,284.8608509319954,6885.825,NaN,NaN,NaN
-4707.293333333334,432.5230801133395,4197.330000000001,-2440.011723404255,294.97673379273607,6690.476,NaN,NaN,NaN
-4813.4157000000005,419.4632071456681,4345.472872340425,-2478.1066737588653,297.78789738637926,6538.912000000001,NaN,NaN,NaN
-4874.6148,399.45647427768205,4470.913191489362,-2572.0927943262413,302.86073520664365,6497.048000000002,NaN,NaN,NaN
-5042.655733333335,414.19064929036483,4606.5558510638275,-2647.1457872340416,309.9094731091215,6712.574000000002,NaN,NaN,NaN
-5246.408666666667,439.71168320413835,4773.498936170213,-2793.1468794326242,320.0803854704696,6979.969999999998,NaN,NaN,NaN
-5444.737000000001,447.29773420537566,4985.418191489361,-3017.993234042553,332.6803539151356,7383.387,NaN,NaN,NaN
-5464.071466666666,440.47216068311843,5160.154893617021,-3222.88809929078,342.7390823175513,7533.08,NaN,NaN,NaN
-5495.5587000000005,423.8708308920999,5276.167765957447,-3419.2469078014174,355.4744570442214,7720.25,NaN,NaN,NaN
-5715.977933333334,421.86313334511516,5423.627659574468,-3566.3482836879457,366.6518394987209,7940.318000000001,NaN,NaN,NaN
-6016.210666666664,441.98131793076345,5599.881914893616,-3709.0024822695023,376.3928950062092,8215.98,NaN,NaN,NaN
-6386.571733333332,464.4674534881962,5819.676595744681,-3835.235290780142,387.03200785688273,8575.848,NaN,NaN,NaN
-6712.186033333333,484.4077164236461,5994.809255319148,-3955.643141843972,393.05469310954936,8865.510999999999,NaN,NaN,NaN
-6943.9906666666675,502.113156916962,6129.147446808512,-4115.234489361702,401.7380474637473,9138.289999999999,NaN,NaN,NaN
-7198.4837,537.431292209841,6301.599148936169,-4293.124290780142,416.8456153226162,9331.115000000002,NaN,NaN,NaN
-7382.228000000001,572.8720487194116,6481.32340425532,-4464.487446808512,432.1058955517722,9666.340000000002,NaN,NaN,NaN
-7347.665299999999,614.0640133651477,6661.606170212765,-4671.049265957447,446.81583592913034,9971.609,NaN,NaN,NaN
-7209.955800000001,635.4983267924715,6882.744042553192,-4911.292460992906,460.6040290305748,10140.374,NaN,NaN,NaN
-7154.528166666666,613.0072201082512,7170.918191489357,-5143.30579078014,469.7865775650192,9990.374,NaN,NaN,NaN
-7157.549066666668,583.011824017379,7511.583404255319,-5401.081588652482,482.7375553376211,9635.151999999998,NaN,NaN,NaN
-7370.443666666668,579.1281514900191,7887.997340425532,-5691.83546099291,504.0853555822994,9671.56,NaN,NaN,NaN
-7829.504933333332,621.245294867643,8242.121489361702,-6009.7879007092215,530.9527486401859,10166.288,NaN,NaN,NaN
-8138.779699999999,650.3376026804191,8635.126170212767,-6369.189620567376,562.1881059640868,10542.639000000001,NaN,NaN,NaN
-8075.355200000001,655.1444563862351,9034.008936170212,-6774.074652482267,589.7712100615621,10556.928,NaN,NaN,NaN
-7897.258866666665,647.4237694797418,9415.319042553192,-7210.071276595741,610.4817604033016,10488.345,NaN,NaN,NaN
-7557.81,627.7784727138617,9766.015957446809,-7631.545390070922,628.3741160578671,10280.05,NaN,NaN,NaN
-7259.095133333333,607.8444793535542,10092.677127659572,-7888.799141843973,638.0079910335468,10094.481000000002,NaN,NaN,NaN
-7095.540266666666,584.5716281823095,10398.179999999997,-8140.014368794324,648.6702622796449,9959.559999999998,NaN,NaN,NaN
-6927.321566666666,579.1867189935138,10626.900106382982,-8319.19063829787,655.7149451274231,9845.06,NaN,NaN,NaN
-6709.738533333332,594.1629418844135,10820.621063829787,-8481.99540425532,656.4633123442313,9605.727999999997,NaN,NaN,NaN
-6480.240666666667,617.3227917572065,10974.642021276597,-8618.560230496454,657.0677599838019,9086.009999999998,NaN,NaN,NaN
-6250.070799999999,652.1391993176387,11114.875744680854,-8780.34720567376,660.427742060097,8555.375999999998,NaN,NaN,NaN
-6014.236766666669,677.7772215623047,11268.645957446806,-8939.669957446806,670.1026425672572,7993.644000000003,NaN,NaN,NaN
-5771.091266666668,704.5370817903863,11478.677021276597,-9111.787283687943,687.8922694605486,7637.322000000002,NaN,NaN,NaN
-5510.517633333334,700.9141948698417,11696.094893617023,-9334.037985815603,716.4609582482886,7537.812999999999,NaN,NaN,NaN
-5368.893333333333,611.4994285079516,11934.914893617019,-9559.277163120563,745.3665270094015,7477.319999999998,NaN,NaN,NaN
