rhca_hostChampionFitness,rhca_parasiteChampionFitness,oe_championFitness
1120.715384615385,53.33438391532442,2207.3076923076924
1055.563,53.66382329937664,1975.752884615385
990.4106153846157,53.99326268342887,1744.1980769230768
911.5191762820511,54.979224735078,1532.2413461538458
818.2478589743589,55.21160997856389,1433.8769230769233
746.5049679487182,55.58879377214374,1432.3091346153847
690.5021153846153,54.78172123526632,1446.9575000000002
654.4204807692307,54.67021148843314,1441.5779807692302
608.5322307692308,57.33710677320741,1450.3134615384615
579.4889839743591,60.15126836877179,1464.4250000000002
572.5397435897435,62.16806096447612,1516.2105769230768
588.6381410256413,62.94751681694791,1548.7066346153838
612.3431794871796,64.88877916434262,1583.654615384615
609.9233782051282,68.77654659667904,1658.193942307693
509.4960769230766,75.38634359810848,1798.364038461538
352.2872115384616,84.29524146616346,1967.9721153846153
253.4163974358974,92.25894034438662,2117.2784615384617
279.9372019230771,96.61221637967603,2256.3019230769223
241.61288461538464,101.94826113026873,2417.8476923076933
153.04281089743563,105.96479050228216,2488.068749999999
76.05378205128198,108.15399640338948,2486.0903846153847
55.59379807692307,111.59801073504615,2494.2694230769234
31.622051282051242,116.42088506361787,2581.207115384616
-53.9588461538463,120.70216256303084,2658.7555769230776
-152.91257692307667,127.1537570987325,2732.262692307692
-254.8591346153847,133.96202923143963,2721.800480769231
-277.246403846154,137.69306922967354,2696.016346153847
-341.88315384615413,142.5319219876396,2777.911057692307
-457.7846153846159,150.14021578918278,2893.623076923077
-596.3752467948718,159.82660821632547,3048.234807692307
-676.5183653846154,166.78441074113786,3197.8298076923083
-801.695923076923,174.98548221603713,3350.8239423076925
-955.0412948717944,184.61055850302864,3503.9076923076946
-1064.315397435897,194.6920185699016,3581.1116346153826
-1128.5207820512824,200.4005033599313,3676.9601923076943
-1149.2355608974356,201.89200056440316,3783.531730769231
-1139.9420384615385,200.91885558010537,3847.8619230769214
-1158.1871474358975,205.20179972390721,3944.867115384617
-1172.7284935897428,209.74910362875713,4068.9455769230754
-1249.1034583333333,215.19873778450773,4195.24875
-1342.9762820512829,218.85001984043907,4298.163461538461
-1404.289637820513,221.55179376091897,4360.961923076923
-1399.0679166666657,222.2198193912515,4432.275384615387
-1382.1999423076925,223.38956532490536,4493.9474999999975
-1392.0626025641027,228.02369465289863,4605.883461538462
-1477.9408493589758,234.74743081619874,4719.377884615384
-1619.7086858974362,240.11198017310286,4797.386730769231
-1685.4616378205126,240.2501692101108,4826.155576923077
-1725.9099102564107,236.60867924511132,4806.915769230769
-1724.0058333333336,236.32948700598322,4866.076923076924
-1717.2192307692303,238.3059063211138,4942.778846153846
-1666.885365384615,240.88918262415473,5001.003269230769
-1612.6531410256405,242.29390543707134,5039.16076923077
-1586.1254006410259,243.09210056641626,5001.823653846154
-1568.7187051282042,249.45460665986138,5014.1675
-1558.3843910256417,259.2044267223128,5016.25673076923
-1558.3763333333338,264.5780877092717,5031.590769230767
-1558.4902596153843,264.4604614469222,4960.608461538462
-1529.4064679487185,261.75145756586693,4885.579807692308
-1441.6448173076924,259.84124525410425,4799.8349038461565
-1345.7975641025646,259.80128160566466,4735.3134615384615
-1292.405099358975,261.9619531991595,4674.6651923076915
-1259.7280576923074,265.47761732198666,4641.064615384614
-1213.1961442307702,266.77472763369894,4593.320865384614
-1169.359448717948,267.03737246575525,4499.434230769231
-1109.7497756410255,267.0851898094744,4388.881249999999
-979.536782051282,264.520063528577,4282.042692307691
-822.5938974358972,256.6776610157791,4195.242788461538
-609.4928205128193,247.58982143514592,4157.421923076923
-480.68673076923045,240.7454413102726,4077.9908653846137
-429.97330128205095,241.8884891662117,3934.0817307692323
-391.04309935897436,241.99481546756536,3830.4595192307697
-380.0099615384612,242.7919391541878,3725.750769230769
-367.0140801282057,244.0260063901174,3646.277211538463
-328.6104999999997,247.2117935156743,3615.1740384615396
-332.51346153846174,250.7018872830756,3613.733173076923
-382.430320512821,259.07777557287847,3657.7784615384608
-510.7837051282058,267.91823912685817,3703.8610576923083
-622.0399615384615,268.9739354345236,3783.8475000000003
-685.0642852564107,266.8396982101028,3892.8010576923084
-720.3469871794873,264.3148451863457,3967.0038461538475
-769.5455705128207,266.56710569162027,4022.091346153845
-794.8683397435889,270.0781324301444,4024.905961538461
-857.6229487179475,282.07870153049237,4039.0333653846164
-933.4470000000002,296.0454607403351,4104.096153846154
-926.6667628205134,305.2111954993094,4226.987019230768
-863.8621089743591,307.870509035112,4424.288269230769
-745.6904423076926,309.4394587136665,4568.401057692307
-656.4253717948721,311.1117208978422,4629.046923076922
-521.394025641025,307.93086303200937,4787.4095192307705
-129.47028846153597,308.282194282516,4988.186538461539
647.8572147435856,312.8911463914812,5394.421442307693
2291.6034358974484,319.7878885819654,5998.10115384616
5238.486923076941,324.47008890319245,7069.736923076934
9657.612038461513,348.723761031666,8778.809423076913
14468.21118589741,377.20886396255224,11451.358653846146
18737.603987179467,406.85374570896124,14274.409999999994
20657.551185897435,416.96503076078886,16600.511634615377
20953.896153846155,410.8925454386001,17215.16346153846
20953.896153846155,410.89254543860017,17215.16346153846

