rhca_hostChampionFindGen,rhca_parasiteChampionFindGen,oe_championFindGen
101.67307692307692,101.64423076923077,1.5192307692307692
99.34730769230767,99.32807692307689,12.960096153846155
97.0215384615385,97.01192307692311,24.40096153846154
94.85134615384612,94.83778846153847,36.870000000000005
93.89423076923073,93.87346153846153,48.35000000000004
94.13798076923081,94.10961538461544,58.949999999999996
93.74134615384614,93.7057692307692,75.04846153846152
92.0175,91.97365384615384,93.46990384615385
91.59461538461538,91.55076923076922,105.01653846153846
90.8839423076923,90.84634615384613,114.26403846153843
90.65673076923076,90.62403846153846,131.94326923076926
91.25221153846152,91.2183653846154,144.05288461538464
91.16884615384616,91.12461538461541,136.60346153846152
90.91,90.8501923076923,123.87125000000005
92.4621153846154,92.40230769230769,136.10538461538465
94.42403846153844,94.37548076923076,156.64855769230766
96.52961538461538,96.49846153846156,187.3934615384615
97.9567307692308,97.94250000000004,210.2583653846154
99.47153846153842,99.4684615384615,213.81769230769214
100.6572115384616,100.65490384615387,217.32509615384606
101.80384615384615,101.79615384615386,215.54230769230765
102.92846153846155,102.92038461538462,214.00894230769228
104.39557692307689,104.38711538461531,212.45557692307696
105.99557692307692,105.98701923076922,215.73778846153849
108.0888461538462,108.08307692307697,224.92846153846162
109.9375,110.12740384615384,233.96634615384616
110.82653846153845,111.24653846153844,225.5655769230768
112.1906730769231,112.84000000000006,222.88000000000005
113.47307692307689,114.16038461538459,227.9546153846154
114.99903846153845,115.45701923076922,247.8482692307692
116.35288461538458,116.57788461538459,263.7980769230769
117.20019230769232,117.19403846153847,250.78701923076926
118.5565384615384,118.54269230769222,237.26230769230762
119.95971153846162,119.94423076923084,225.56278846153856
121.86749999999998,121.8530769230769,228.4398076923076
123.79134615384613,123.7793269230769,240.6899038461538
125.3903846153846,125.38076923076922,254.74307692307696
127.26278846153842,127.25586538461536,273.3021153846154
128.82519230769233,128.8223076923077,281.0953846153846
130.36346153846156,130.35836538461544,288.45923076923066
131.43076923076924,131.42307692307693,288.4576923076922
132.18442307692308,132.17721153846153,282.4845192307693
132.62750000000003,132.61615384615388,269.1184615384614
133.1222115384615,133.105,267.80288461538464
133.6988461538462,133.67807692307696,278.2842307692307
134.33990384615387,134.3177884615385,290.99278846153845
135.2203846153846,135.20557692307693,311.5621153846153
136.1322115384615,136.13192307692304,313.508076923077
137.0134615384615,137.03038461538458,316.20115384615383
137.5597115384615,137.59298076923073,302.3214423076924
138.15865384615384,138.20673076923077,283.90865384615387
139.12278846153848,139.15663461538463,261.91759615384603
140.05653846153845,140.0769230769231,245.54038461538462
140.95086538461544,140.95875000000004,230.97048076923076
141.68057692307693,141.68173076923077,213.2561538461537
142.43124999999992,142.4336538461538,220.43076923076933
143.46846153846153,143.4761538461538,236.81615384615404
144.97442307692307,144.98730769230767,261.81423076923056
146.19134615384613,146.2059615384615,322.8865384615382
147.34932692307692,147.35625,390.1981730769229
148.31730769230762,148.31538461538454,439.0730769230768
149.3701923076923,149.35942307692306,442.4004807692306
150.23711538461538,150.2196153846154,413.1080769230769
151.0946153846154,151.07211538461542,364.5872115384616
151.92538461538462,151.90230769230772,325.48346153846154
152.4240384615385,152.40240384615387,296.45865384615365
152.9559615384615,152.94192307692308,304.58307692307704
153.4993269230768,153.49096153846148,332.6517307692311
154.03192307692308,154.03346153846155,364.9196153846154
155.15586538461542,155.15721153846158,391.7027884615382
156.4923076923077,156.4942307692308,381.24326923076944
157.41249999999997,157.41144230769225,354.1134615384615
158.38384615384618,158.38076923076926,329.0723076923078
159.79375,159.78249999999997,302.3803846153844
161.32192307692304,161.30365384615382,295.4475000000001
163.41105769230768,163.39423076923077,291.4375
166.13384615384615,166.11692307692303,308.3361538461538
168.48038461538465,168.47105769230774,335.03076923076935
170.7188461538462,170.71365384615385,353.27769230769223
172.55307692307696,172.5578846153846,370.9633653846155
174.59230769230774,174.60192307692313,384.19423076923107
176.37124999999997,176.3717307692308,411.1614423076923
178.17096153846163,178.16365384615392,430.3888461538458
180.0313461538462,180.02230769230772,447.6859615384613
181.57923076923075,181.57,431.4369230769231
183.35528846153844,183.35000000000002,427.68509615384613
185.5828846153847,185.5848076923078,416.7724999999999
187.27086538461523,187.72374999999982,416.60865384615374
188.5092307692309,190.15000000000015,412.6030769230771
189.33365384615385,192.66644230769236,436.7192307692309
189.94423076923078,195.6875,471.6403846153849
189.82990384615397,199.47663461538468,511.02634615384613
187.62884615384624,204.9038461538463,546.3311538461538
179.6309615384615,213.021826923077,517.4525000000002
162.29769230769242,226.44673076923067,462.3201923076927
140.7956730769232,242.26826923076916,403.73413461538473
119.50538461538468,257.03038461538466,347.11615384615357
108.18125,263.6527884615385,323.7870192307692
106.36538461538461,263.25,316.83653846153845
106.36538461538461,263.25,316.83653846153845

