rhca_generations,oe_generations
25.134615384615383,1039.4615384615386
24.478942307692304,874.8642307692306
23.823269230769235,710.2669230769227
23.042115384615382,562.1874038461539
22.287307692307692,475.12153846153836
21.95432692307692,432.27115384615377
21.525769230769228,406.9769230769233
21.259903846153836,394.4112499999999
21.123076923076937,387.82538461538456
20.814807692307696,385.3358653846154
20.50769230769231,377.1221153846152
20.29432692307692,371.2875961538461
20.36653846153846,361.24615384615385
20.76538461538462,345.0287500000001
20.924038461538466,326.4567307692306
21.177884615384627,314.11730769230775
21.68846153846154,306.6600000000001
22.365384615384606,304.85096153846155
22.98269230769231,308.59730769230765
23.656634615384625,317.13307692307694
24.309615384615384,326.22499999999997
24.831057692307688,326.3306730769231
25.25461538461538,321.69307692307694
25.64230769230769,317.8498076923078
25.93576923076923,317.39769230769224
26.432692307692307,322.53846153846155
26.926538461538453,326.10903846153843
27.402692307692327,328.7374038461538
27.984615384615388,334.92076923076934
28.41576923076922,340.4791346153846
28.92307692307692,345.151923076923
29.591634615384617,347.4303846153847
30.20269230769231,348.08192307692303
30.87336538461539,351.8770192307692
31.361730769230782,358.7565384615386
31.686057692307696,367.24807692307695
32.03230769230769,375.09653846153856
32.18067307692307,381.9120192307692
32.30557692307692,385.4444230769231
32.667500000000004,386.6600961538461
33.017307692307696,388.33461538461546
33.29519230769231,387.8965384615383
33.5573076923077,391.3507692307693
33.760192307692314,397.1158653846154
33.94384615384615,404.775
34.31923076923077,411.36538461538476
34.706346153846155,414.43596153846164
35.110576923076934,415.1942307692307
35.50692307692309,414.88384615384615
35.64423076923077,414.30519230769215
35.71153846153846,414.125
35.75480769230769,414.4324999999999
35.85346153846153,415.9811538461539
35.97653846153846,420.5015384615386
35.97769230769231,425.30057692307696
36.043749999999996,427.5879807692306
36.23615384615386,427.47269230769206
36.61548076923076,429.782596153846
37.013653846153844,434.9688461538462
37.36682692307692,440.3251923076922
37.746153846153845,446.9038461538463
38.076730769230764,452.36221153846157
38.34076923076923,456.01
38.54211538461537,458.9913461538462
38.738461538461536,462.06384615384627
38.978846153846156,465.43653846153825
39.248461538461534,470.5265384615387
39.51009615384615,476.2361538461537
39.71884615384616,482.36346153846137
39.863173076923076,488.33682692307707
39.99519230769233,492.55673076923074
40.23730769230769,495.2355769230771
40.57653846153847,499.2684615384614
40.998365384615376,504.20701923076916
41.494615384615386,510.10653846153826
41.92067307692308,518.3461538461538
42.406153846153856,528.7815384615385
42.94625000000001,538.5173076923077
43.48346153846153,548.4434615384617
43.99326923076923,559.8283653846155
44.41923076923078,569.5288461538462
44.96615384615385,580.5761538461539
45.494423076923084,595.3778846153845
46.03173076923077,615.8808653846153
46.50038461538462,638.9242307692306
46.964423076923076,657.2100961538459
47.57653846153846,674.7665384615382
48.02701923076922,693.7853846153846
48.559615384615384,709.4046153846152
49.35153846153845,731.412403846154
50.340384615384615,757.6096153846157
51.44855769230767,787.2317307692313
52.73230769230769,818.8719230769228
54.714903846153874,856.7158653846153
57.84923076923075,912.9126923076922
62.24471153846153,984.5947115384613
67.55961538461537,1078.300769230769
72.05028846153847,1156.011153846154
73.65384615384616,1184.673076923077
73.65384615384616,1184.673076923077

