"winnerIndex","seed","turns","crystalWin","unitWin","co_generations","co_championHostFindGen","co_championHostFitnesses","co_championParasiteFindGen","co_championParasiteFitnesses","oe_generations","oe_championHostFindGen","oe_championFitnesses"
"","","","","","33.0","33.0","-477.6666666666667","33.0","118.18181818181819","285.0","27.0","2480.0"
"","","","","","34.0","34.0","143.16666666666666","34.0","135.71428571428572","364.0","13.0","1680.0"
"","","","","","33.0","33.0","3249.3333333333335","33.0","71.11111111111111","350.0","54.0","2000.0"
"","","","","","33.0","33.0","1461.3333333333333","33.0","68.5","433.0","84.0","2000.0"
"","","","","","34.0","34.0","1955.8333333333333","34.0","-22.22222222222222","394.0","17.0","2540.0"
"","","","","","34.0","34.0","1671.6666666666667","34.0","96.66666666666667","508.0","11.0","1600.0"
"","","","","","34.0","34.0","-1401.1666666666667","34.0","104.21052631578948","324.0","19.0","3260.0"
"","","","","","35.0","35.0","1189.1666666666667","35.0","59.0","360.0","105.0","1540.0"
"","","","","","35.0","35.0","782.1666666666666","35.0","46.689655172413794","379.0","120.0","1855.0"
"","","","","","33.0","33.0","2918.3333333333335","33.0","20.0","382.0","15.0","1326.0"
"","","","","","37.0","37.0","295.1666666666667","37.0","11.35","385.0","126.0","152.0"
"","","","","","38.0","38.0","-1152.1666666666667","38.0","83.0","346.0","14.0","5109.0"
"","","","","","36.0","36.0","-4681.266666666666","36.0","327.5","332.0","152.0","4903.0"
"","","","","","39.0","39.0","-5756.5","39.0","411.94444444444446","398.0","196.0","7591.0"
"","","","","","39.0","39.0","-14094.666666666666","39.0","752.8095238095239","323.0","9.0","17618.0"
"","","","","","39.0","39.0","-13836.333333333334","39.0","769.8888888888889","357.0","41.0","17654.0"
"","","","","","42.0","42.0","-15484.5","42.0","856.45","346.0","39.0","18788.0"
"","","","","","38.0","38.0","-13474.666666666666","38.0","794.0588235294117","346.0","39.0","20205.0"
"","","","","","37.0","37.0","-10387.566666666668","37.0","694.7368421052631","434.0","9.0","13764.0"
"","","","","","46.0","46.0","-11606.666666666666","46.0","611.2105263157895","432.0","155.0","12478.0"
"","","","","","52.0","52.0","-11647.0","52.0","728.0","440.0","9.0","14203.0"
"","","","","","53.0","53.0","-12713.5","53.0","690.047619047619","562.0","12.0","15196.0"
"","","","","","59.0","59.0","-18874.0","59.0","1112.1176470588234","606.0","171.0","17416.0"
"","","","","","154.0","1.0","-60000.0","154.0","3529.4117647058824","709.0","103.0","21018.0"
"2","462055759303","61","False","True","27.0","27.0","446.0","27.0","61.08695652173913","1590.0","5.0","2260.0"
"","","","","","27.0","27.0","-261.1666666666667","27.0","85.35714285714286","676.0","4.0","1240.0"
"","","","","","20.0","20.0","292.1666666666667","20.0","45.78947368421053","508.0","4.0","2190.0"
"","","","","","8.0","8.0","1553.0","8.0","40.78947368421053","311.0","143.0","1220.0"
"","","","","","15.0","15.0","1495.3333333333333","15.0","26.64516129032258","47.0","23.0","1560.0"
"","","","","","18.0","18.0","2479.0666666666666","18.0","36.5","366.0","168.0","3137.0"
"","","","","","13.0","12.0","461.8666666666667","13.0","44.53125","34.0","15.0","2741.0"
"","","","","","40.0","40.0","2606.7","40.0","55.391304347826086","444.0","35.0","2359.0"
"","","","","","40.0","40.0","1031.7333333333333","39.0","8.272727272727273","537.0","16.0","-991.0"
"","","","","","38.0","38.0","2341.8333333333335","38.0","-9.432432432432432","517.0","7.0","-773.0"
"","","","","","32.0","32.0","5356.233333333334","32.0","25.333333333333332","493.0","27.0","-509.0"
"","","","","","38.0","38.0","1378.9666666666667","38.0","41.333333333333336","476.0","17.0","-1057.0"
"","","","","","36.0","36.0","576.5","36.0","38.63636363636363","466.0","50.0","910.0"
"","","","","","38.0","38.0","-1910.5333333333333","38.0","151.66666666666666","442.0","13.0","1735.0"
"","","","","","35.0","35.0","1764.0","35.0","121.31818181818181","464.0","96.0","3144.0"
"","","","","","39.0","39.0","-2740.0","39.0","387.6842105263158","541.0","42.0","7789.0"
"","","","","","44.0","44.0","-2940.0","44.0","216.25","685.0","12.0","4390.0"
"","","","","","42.0","42.0","-1387.0","42.0","116.36363636363636","719.0","9.0","4415.0"
"","","","","","44.0","44.0","6593.0","44.0","144.16666666666666","703.0","20.0","3535.0"
"","","","","","49.0","49.0","4967.0","49.0","-103.125","712.0","30.0","-4765.0"
"","","","","","48.0","48.0","3139.5","48.0","-55.22727272727273","675.0","8.0","-2385.0"
"","","","","","46.0","46.0","3171.0","46.0","-56.47727272727273","767.0","96.0","-2355.0"
"","","","","","47.0","47.0","8002.5","47.0","-178.33333333333334","712.0","6.0","-2550.0"
"","","","","","52.0","52.0","8433.666666666666","52.0","-167.90322580645162","858.0","302.0","-6085.0"
"","","","","","51.0","51.0","8986.5","51.0","-138.0487804878049","892.0","399.0","-6550.0"
"","","","","","60.0","60.0","8220.5","60.0","-173.64864864864865","918.0","71.0","-6095.0"
"","","","","","63.0","63.0","8387.333333333334","63.0","-195.46511627906978","1147.0","496.0","-7615.0"
"","","","","","63.0","63.0","8867.5","63.0","-118.58490566037736","1178.0","670.0","-6405.0"
"","","","","","68.0","68.0","8830.0","68.0","-196.86046511627907","1448.0","90.0","-8465.0"
"","","","","","66.0","21.0","60000.0","66.0","-239.8684210526316","1507.0","54.0","-8185.0"
"","","","","","","","","","","3878.0","1.0","-60000.0"
"1","1042599534241","51","True","False","14.0","14.0","1947.1666666666667","14.0","49.130434782608695","84.0","1.0","1990.0"
"","","","","","21.0","21.0","1973.0","21.0","20.757575757575758","81.0","66.0","1540.0"
"","","","","","20.0","20.0","961.5","20.0","68.63636363636364","34.0","14.0","1520.0"
"","","","","","9.0","9.0","1428.6666666666667","9.0","143.88888888888889","81.0","10.0","2360.0"
"","","","","","35.0","34.0","-1535.3333333333333","35.0","236.125","61.0","7.0","4753.0"
"","","","","","40.0","40.0","-5010.5","40.0","297.1111111111111","359.0","45.0","6653.0"
"","","","","","40.0","40.0","-4820.333333333333","40.0","371.61538461538464","336.0","39.0","8869.0"
"","","","","","37.0","37.0","-5062.0","37.0","284.5","354.0","62.0","6341.0"
"","","","","","37.0","37.0","-5133.166666666667","37.0","330.3157894736842","337.0","37.0","6531.0"
"","","","","","36.0","36.0","-6202.166666666667","36.0","376.36842105263156","361.0","13.0","7561.0"
"","","","","","34.0","34.0","-6115.9","34.0","318.0","337.0","23.0","9401.0"
"","","","","","31.0","31.0","-6515.6","31.0","479.7647058823529","359.0","28.0","7861.0"
"","","","","","35.0","35.0","-6841.0","35.0","495.25","382.0","33.0","7871.0"
"","","","","","37.0","37.0","-4601.666666666667","37.0","410.3","366.0","67.0","8441.0"
"","","","","","37.0","37.0","-7797.0","37.0","471.2352941176471","369.0","32.0","9001.0"
"","","","","","41.0","41.0","-9232.0","41.0","588.3888888888889","412.0","13.0","9781.0"
"","","","","","42.0","42.0","-7898.0","42.0","617.6666666666666","401.0","25.0","12371.0"
"","","","","","42.0","42.0","-9239.333333333334","42.0","668.7333333333333","400.0","11.0","12331.0"
"","","","","","41.0","41.0","-8473.333333333334","41.0","601.4761904761905","408.0","9.0","12291.0"
"","","","","","39.0","39.0","-7514.166666666667","39.0","633.1111111111111","408.0","35.0","11311.0"
"","","","","","42.0","42.0","-8945.166666666666","42.0","476.0","392.0","11.0","9986.0"
"","","","","","45.0","45.0","-8922.833333333334","45.0","541.05","382.0","102.0","11546.0"
"","","","","","39.0","39.0","-4631.333333333333","39.0","636.0","384.0","146.0","14082.0"
"","","","","","38.0","38.0","-16526.8","38.0","1393.2857142857142","346.0","38.0","9622.0"
"","","","","","39.0","39.0","-15092.733333333334","39.0","1043.1904761904761","368.0","135.0","22066.0"
"","","","","","","","","","","457.0","54.0","60000.0"
"1","575000140731","39","True","False","34.0","34.0","-50.666666666666664","34.0","95.45454545454545","1526.0","1.0","2010.0"
"","","","","","20.0","20.0","294.6666666666667","20.0","58.69565217391305","729.0","1.0","1160.0"
"","","","","","22.0","22.0","971.1666666666666","22.0","5.0","504.0","13.0","1160.0"
"","","","","","16.0","16.0","-448.8333333333333","16.0","256.07142857142856","414.0","39.0","1630.0"
"","","","","","15.0","15.0","-522.0","15.0","146.875","409.0","9.0","1980.0"
"","","","","","13.0","13.0","2849.4","13.0","-16.964285714285715","58.0","34.0","2520.0"
"","","","","","19.0","19.0","3719.5666666666666","19.0","66.92307692307692","357.0","345.0","1695.0"
"","","","","","12.0","12.0","1452.6666666666667","12.0","109.75","375.0","128.0","215.0"
"","","","","","16.0","16.0","2275.7","16.0","26.73076923076923","378.0","8.0","-245.0"
"","","","","","20.0","20.0","780.6666666666666","20.0","22.692307692307693","351.0","178.0","275.0"
"","","","","","11.0","11.0","154.66666666666666","11.0","63.75","292.0","11.0","2303.0"
"","","","","","15.0","15.0","-5123.466666666666","15.0","505.48387096774195","272.0","13.0","4580.0"
"","","","","","13.0","13.0","-15564.366666666667","13.0","796.1","285.0","9.0","17707.0"
"","","","","","15.0","15.0","-13693.033333333333","15.0","868.2631578947369","353.0","337.0","18287.0"
"","","","","","13.0","13.0","-11724.633333333333","13.0","775.0","383.0","54.0","17670.0"
"","","","","","38.0","38.0","-4816.5","38.0","267.22222222222223","41.0","8.0","15680.0"
"","","","","","41.0","41.0","-6686.5","41.0","393.3333333333333","420.0","34.0","7160.0"
"","","","","","40.0","40.0","-4263.5","40.0","345.1","443.0","12.0","7347.0"
"","","","","","42.0","42.0","-6105.333333333333","42.0","434.42857142857144","431.0","112.0","6752.0"
"","","","","","","","","","","455.0","25.0","60000.0"
"1","161218691340","23","True","False","18.0","18.0","2093.0","18.0","24.166666666666668","82.0","1.0","1990.0"
"","","","","","19.0","19.0","3397.3333333333335","19.0","108.57142857142857","45.0","11.0","1920.0"
"","","","","","59.0","59.0","547.5","59.0","198.86363636363637","82.0","66.0","4920.0"
"","","","","","46.0","46.0","389.5","46.0","38.07692307692308","741.0","378.0","1250.0"
"","","","","","45.0","45.0","1143.3333333333333","45.0","39.39393939393939","733.0","12.0","890.0"
"","","","","","39.0","39.0","-285.8333333333333","39.0","41.42857142857143","556.0","15.0","250.0"
"","","","","","35.0","35.0","-395.8333333333333","35.0","80.68181818181819","539.0","9.0","1730.0"
"","","","","","31.0","31.0","-1517.0","31.0","606.1111111111111","413.0","10.0","2050.0"
"","","","","","33.0","33.0","-748.2666666666667","33.0","114.53846153846153","433.0","30.0","3265.0"
"","","","","","35.0","35.0","-3027.5","35.0","731.7647058823529","427.0","22.0","2910.0"
"","","","","","35.0","35.0","-11407.833333333334","35.0","606.9047619047619","381.0","213.0","13470.0"
"","","","","","","","","","","425.0","9.0","60000.0"
"1","1321625362376","47","False","True","29.0","29.0","629.6666666666666","29.0","58.958333333333336","1325.0","1.0","2260.0"
"","","","","","23.0","23.0","88.0","23.0","23.333333333333332","733.0","6.0","1180.0"
"","","","","","12.0","12.0","2303.6666666666665","12.0","114.23076923076923","375.0","14.0","1200.0"
"","","","","","19.0","19.0","2694.6666666666665","19.0","97.6923076923077","46.0","35.0","2260.0"
"","","","","","25.0","25.0","-461.8333333333333","25.0","118.88888888888889","113.0","7.0","1000.0"
"","","","","","15.0","15.0","951.2666666666667","15.0","85.75","514.0","493.0","2060.0"
"","","","","","39.0","39.0","-786.0","39.0","162.04545454545453","54.0","22.0","1985.0"
"","","","","","33.0","33.0","66.16666666666667","33.0","101.19047619047619","430.0","25.0","1310.0"
"","","","","","35.0","35.0","-355.0","35.0","50.714285714285715","392.0","10.0","455.0"
"","","","","","33.0","33.0","-55.666666666666664","33.0","54.82142857142857","464.0","309.0","1110.0"
"","","","","","34.0","34.0","2461.6666666666665","34.0","7.333333333333333","422.0","117.0","1660.0"
"","","","","","35.0","35.0","1571.0","35.0","113.6","483.0","11.0","880.0"
"","","","","","36.0","36.0","-186.83333333333334","36.0","113.5","479.0","81.0","1750.0"
"","","","","","36.0","36.0","-528.0","36.0","136.75","451.0","8.0","3227.0"
"","","","","","38.0","38.0","-2965.1666666666665","38.0","178.42105263157896","496.0","80.0","4670.0"
"","","","","","35.0","35.0","-4370.5","35.0","307.22222222222223","506.0","384.0","5395.0"
"","","","","","33.0","33.0","-45.333333333333336","33.0","289.09090909090907","408.0","60.0","6785.0"
"","","","","","35.0","35.0","-2714.6666666666665","35.0","202.73333333333332","490.0","10.0","4542.0"
"","","","","","39.0","39.0","-2354.3333333333335","39.0","202.05","517.0","60.0","5461.0"
"","","","","","41.0","41.0","-3466.0","41.0","174.4","479.0","23.0","5213.0"
"","","","","","42.0","42.0","-7083.833333333333","42.0","507.4736842105263","455.0","8.0","8302.0"
"","","","","","47.0","47.0","-4522.5","47.0","630.9090909090909","490.0","130.0","12195.0"
"","","","","","73.0","73.0","-18561.0","73.0","1098.0555555555557","526.0","11.0","18470.0"
"","","","","","","","","","","712.0","75.0","60000.0"
"1","37331007915","54","False","True","21.0","21.0","433.0","21.0","41.666666666666664","1480.0","1.0","2050.0"
"","","","","","13.0","13.0","980.0","13.0","33.42857142857143","62.0","3.0","545.0"
"","","","","","21.0","21.0","921.6666666666666","21.0","43.78947368421053","690.0","10.0","307.0"
"","","","","","19.0","19.0","-1264.0","19.0","152.9375","548.0","70.0","3237.0"
"","","","","","19.0","19.0","-2426.5","19.0","259.1875","43.0","28.0","3672.0"
"","","","","","36.0","36.0","-263.5","36.0","140.52631578947367","296.0","201.0","3977.0"
"","","","","","36.0","36.0","-1878.0","36.0","302.63157894736844","312.0","117.0","4535.0"
"","","","","","38.0","38.0","-1260.0","38.0","93.4","274.0","30.0","4865.0"
"","","","","","39.0","39.0","-2051.8333333333335","39.0","240.71428571428572","322.0","51.0","5505.0"
"","","","","","39.0","39.0","-2424.0","39.0","238.21428571428572","474.0","16.0","4385.0"
"","","","","","38.0","38.0","-2030.5","38.0","140.33333333333334","437.0","9.0","4405.0"
"","","","","","39.0","39.0","-2446.1666666666665","39.0","247.89473684210526","451.0","14.0","4780.0"
"","","","","","35.0","35.0","-771.3333333333334","35.0","211.8181818181818","513.0","10.0","4980.0"
"","","","","","37.0","37.0","-1213.5","37.0","204.04761904761904","501.0","144.0","5190.0"
"","","","","","37.0","37.0","-3750.3333333333335","37.0","400.25","470.0","131.0","7015.0"
"","","","","","37.0","37.0","-8315.333333333334","37.0","435.4782608695652","482.0","273.0","9555.0"
"","","","","","43.0","43.0","-8568.0","43.0","727.8666666666667","477.0","256.0","10118.0"
"","","","","","42.0","42.0","-11308.333333333334","42.0","587.047619047619","473.0","15.0","12218.0"
"","","","","","43.0","43.0","-11815.666666666666","43.0","809.4117647058823","495.0","147.0","13845.0"
"","","","","","41.0","41.0","-11676.333333333334","41.0","709.0","472.0","69.0","14135.0"
"","","","","","39.0","39.0","-22047.166666666668","39.0","1302.4705882352941","453.0","12.0","24965.0"
"","","","","","42.0","42.0","-22336.666666666668","42.0","1397.7368421052631","447.0","131.0","27317.0"
"","","","","","37.0","37.0","-12620.566666666668","37.0","1394.235294117647","516.0","13.0","25817.0"
"","","","","","41.0","41.0","-10417.5","41.0","746.0714285714286","478.0","52.0","16585.0"
"","","","","","49.0","49.0","-8693.0","49.0","482.94444444444446","644.0","519.0","11185.0"
"","","","","","65.0","65.0","-13007.5","65.0","813.625","673.0","34.0","12423.0"
"","","","","","171.0","1.0","-60000.0","171.0","3157.8947368421054","650.0","12.0","15018.0"
"1","698118622286","61","True","False","26.0","26.0","776.0","26.0","12.96875","1627.0","1.0","2010.0"
"","","","","","21.0","21.0","118.0","21.0","78.7","89.0","3.0","1300.0"
"","","","","","30.0","30.0","343.3333333333333","30.0","58.0","561.0","121.0","1595.0"
"","","","","","23.0","23.0","415.0","23.0","45.0","478.0","13.0","1190.0"
"","","","","","23.0","22.0","-384.6666666666667","23.0","76.66666666666667","442.0","6.0","240.0"
"","","","","","13.0","13.0","1233.6666666666667","13.0","40.0","436.0","12.0","1290.0"
"","","","","","21.0","21.0","1864.4666666666667","21.0","143.75","63.0","33.0","1830.0"
"","","","","","30.0","30.0","1578.8","30.0","49.0","323.0","197.0","1535.0"
"","","","","","35.0","35.0","-704.7333333333333","35.0","86.875","402.0","45.0","1673.0"
"","","","","","34.0","34.0","-814.5333333333333","34.0","90.57894736842105","353.0","129.0","2823.0"
"","","","","","36.0","36.0","-659.6333333333333","36.0","55.666666666666664","337.0","25.0","3469.0"
"","","","","","33.0","33.0","986.1","33.0","87.78260869565217","347.0","9.0","1679.0"
"","","","","","32.0","32.0","-1035.4666666666667","32.0","93.8","285.0","127.0","2175.0"
"","","","","","32.0","32.0","-1007.3333333333334","32.0","165.68421052631578","297.0","126.0","4059.0"
"","","","","","34.0","34.0","-588.0","34.0","35.5","340.0","10.0","1585.0"
"","","","","","32.0","32.0","-841.0","32.0","134.08","312.0","87.0","4412.0"
"","","","","","36.0","36.0","-1889.4666666666667","36.0","245.52631578947367","316.0","268.0","6060.0"
"","","","","","33.0","33.0","-454.3333333333333","33.0","117.6086956521739","352.0","9.0","3424.0"
