"winnerIndex","seed","turns","crystalWin","unitWin","co_generations","co_sumChampionHostFindGen","co_sumChampionParasiteFindGen","oe_generations","oe_sumChampionHostFindGen"
"","","","","","11.0","","","558.0",""
"","","","","","10.0","","","464.0",""
"","","","","","14.0","","","411.0",""
"","","","","","13.0","","","433.0",""
"","","","","","11.0","","","413.0",""
"","","","","","13.0","","","382.0",""
"","","","","","12.0","","","32.0",""
"","","","","","31.0","","","39.0",""
"","","","","","32.0","","","523.0",""
"","","","","","32.0","","","554.0",""
"","","","","","38.0","","","532.0",""
"","","","","","39.0","","","550.0",""
"","","","","","38.0","","","565.0",""
"","","","","","39.0","","","567.0",""
"","","","","","38.0","","","636.0",""
"","","","","","38.0","","","565.0",""
"","","","","","40.0","","","559.0",""
"","","","","","41.0","","","622.0",""
"","","","","","42.0","","","656.0",""
"","","","","","44.0","","","562.0",""
"","","","","","46.0","","","736.0",""
"","","","","","48.0","","","895.0",""
"","","","","","53.0","","","918.0",""
"","","","","","53.0","","","1407.0",""
"","","","","","55.0","","","1291.0",""
"","","","","","94.0","","","1309.0",""
"1","928342988680","61","True","False","29.0","1210.0","1210.0","1558.0","2442.0"
"","","","","","24.0","","","823.0",""
"","","","","","24.0","","","516.0",""
"","","","","","18.0","","","493.0",""
"","","","","","11.0","","","37.0",""
"","","","","","15.0","","","430.0",""
"","","","","","14.0","","","396.0",""
"","","","","","35.0","","","54.0",""
"","","","","","35.0","","","341.0",""
"","","","","","37.0","","","516.0",""
"","","","","","33.0","","","475.0",""
"","","","","","34.0","","","375.0",""
"","","","","","37.0","","","359.0",""
"","","","","","35.0","","","373.0",""
"","","","","","38.0","","","430.0",""
"","","","","","38.0","","","409.0",""
"","","","","","38.0","","","396.0",""
"","","","","","34.0","","","425.0",""
"","","","","","45.0","","","446.0",""
"","","","","","44.0","","","515.0",""
"","","","","","49.0","","","599.0",""
"","","","","","52.0","","","541.0",""
"","","","","","57.0","","","705.0",""
"","","","","","58.0","","","719.0",""
"","","","","","48.0","","","743.0",""
"","","","","","60.0","","","686.0",""
"","","","","","65.0","","","702.0",""
"","","","","","68.0","","","927.0",""
"","","","","","66.0","","","875.0",""
"","","","","","69.0","","","837.0",""
"","","","","","","","","909.0",""
"1","930820071570","57","True","False","36.0","965.0","965.0","1622.0","2680.0"
"","","","","","22.0","","","772.0",""
"","","","","","19.0","","","584.0",""
"","","","","","16.0","","","374.0",""
"","","","","","12.0","","","52.0",""
"","","","","","33.0","","","53.0",""
"","","","","","32.0","","","361.0",""
"","","","","","32.0","","","315.0",""
"","","","","","33.0","","","322.0",""
"","","","","","33.0","","","330.0",""
"","","","","","33.0","","","378.0",""
"","","","","","32.0","","","372.0",""
"","","","","","32.0","","","378.0",""
